framed,player_id,round_nr,participant_code,s1,s1_cum,s1_freq,df
0,1,24,bhaakguo,0,2,0.083333333,1.8
0,1,24,bollw9mr,1,19,0.791666667,2.542857143
0,1,24,buocfmyx,0,7,0.291666667,1.485714286
0,1,24,buxstyu5,1,10,0.416666667,2.485714286
0,1,24,chdxrfak,1,23,0.958333333,2.371428571
0,1,24,crzbb1pp,0,6,0.25,1.942857143
0,1,24,eze54kxk,1,12,0.5,2.628571429
1,1,24,g7ab12q3,1,20,0.833333333,1.885714286
0,1,24,gauqrm0f,1,17,0.708333333,1.685714286
1,1,24,i16qw3id,1,16,0.666666667,1.714285714
0,1,24,i8qt3jxw,1,9,0.375,2.114285714
1,1,24,ipmny9rq,0,1,0.041666667,2.257142857
1,1,24,izo49mch,1,17,0.708333333,2.2
0,1,24,jiebe12q,1,7,0.291666667,3.228571429
0,1,24,k5s3f5ne,0,10,0.416666667,1.885714286
0,1,24,kdhmpvys,0,4,0.166666667,1.742857143
0,1,24,o4plj56u,0,5,0.208333333,1.914285714
0,1,24,ogmameyc,0,5,0.208333333,1.628571429
1,1,24,or50tpef,0,16,0.666666667,1.8
1,1,24,ouaa8yuq,0,8,0.333333333,2.771428571
1,1,24,owlwqap1,0,13,0.541666667,2.8
1,1,24,oy8wn5im,0,7,0.291666667,2.2
0,1,24,qmwwptcx,0,1,0.041666667,1.714285714
1,1,24,r3oyr52t,0,0,0,2.114285714
1,1,24,rj5j60np,1,18,0.75,2.285714286
0,1,24,s48es8wr,0,0,0,1.828571429
1,1,24,sj2ft9f6,1,18,0.75,2.171428571
0,1,24,t1tzrcmi,0,2,0.083333333,1.8
0,1,24,tcleibkp,0,9,0.375,2.771428571
1,1,24,u9xqjsvk,1,14,0.583333333,3.257142857
0,1,24,ursirs43,1,19,0.791666667,2.257142857
1,1,24,uwz2vbjr,1,23,0.958333333,2.6
0,1,24,w8d4usex,1,12,0.5,2.657142857
0,1,24,wh4u3tph,0,0,0,2.4
1,1,24,xtfge1ys,1,19,0.791666667,1.771428571
0,1,24,xurwn6zz,1,12,0.5,2.428571429
0,1,24,ycniewr6,0,4,0.166666667,1.742857143
1,1,24,yh9eenkb,0,0,0,2.114285714
1,1,24,z50vt4g0,0,2,0.083333333,2.6
1,1,24,zo9j0hsi,0,10,0.416666667,2.657142857
0,2,24,0xwx0wrp,0,11,0.458333333,2.457142857
0,2,24,17fpqn72,0,1,0.041666667,2.485714286
0,2,24,20cc9xq0,0,2,0.083333333,1.914285714
1,2,24,2fsj9qvt,0,1,0.041666667,2.228571429
1,2,24,3u51j68w,0,6,0.25,1.514285714
0,2,24,4txwixdq,0,3,0.125,1.571428571
1,2,24,6fsse8c1,0,14,0.583333333,2.514285714
0,2,24,6h8woyh9,0,6,0.25,1.771428571
1,2,24,6ub1usmw,0,1,0.041666667,2.228571429
1,2,24,6zqxv643,0,0,0,1.428571429
1,2,24,7lpmb9fe,0,9,0.375,1.657142857
1,2,24,b689r07v,0,8,0.333333333,1.857142857
1,2,24,b7ctrqau,0,0,0,1.485714286
0,2,24,cpep7vdg,0,5,0.208333333,3.171428571
0,2,24,d3nnqhj1,0,0,0,2.342857143
1,2,24,e8jis7nf,0,1,0.041666667,2.657142857
0,2,24,egrlpjt0,0,4,0.166666667,1.942857143
0,2,24,elxbu53y,0,5,0.208333333,2.714285714
0,2,24,enmax74b,0,4,0.166666667,2.028571429
0,2,24,fg9bbibz,0,3,0.125,1.714285714
1,2,24,ftednx2p,0,0,0,2.028571429
1,2,24,gs3duosm,0,4,0.166666667,1.771428571
0,2,24,gsgult9w,0,2,0.083333333,2.4
0,2,24,gyckpsyt,0,1,0.041666667,1.8
1,2,24,i18sqw1f,0,0,0,2.171428571
1,2,24,i2nn9ow6,0,18,0.75,1.914285714
1,2,24,i7rlg7cc,0,1,0.041666667,1.4
0,2,24,icec28hf,0,0,0,2.657142857
1,2,24,iyu7t1vc,0,11,0.458333333,1.914285714
0,2,24,jt77i2bs,0,2,0.083333333,1.4
0,2,24,k7l2k1h7,0,4,0.166666667,1.685714286
1,2,24,kcee9wcd,0,5,0.208333333,2.028571429
1,2,24,mv7b2pla,0,10,0.416666667,2.6
0,2,24,no6j6c3d,0,4,0.166666667,2.514285714
0,2,24,o8yazhge,0,6,0.25,1.771428571
0,2,24,owd84sog,0,0,0,2.4
0,2,24,q9c5lo1x,0,11,0.458333333,2.285714286
1,2,24,qaes30x6,0,1,0.041666667,1.571428571
1,2,24,qkypffhk,0,0,0,2.2
1,2,24,qxal8ioj,0,2,0.083333333,2.714285714
0,2,24,st9ftz75,0,0,0,2.028571429
0,2,24,svszy7vv,0,10,0.416666667,2.485714286
0,2,24,swbsts7n,0,9,0.375,2.571428571
0,2,24,vnhsr39l,0,0,0,1.8
0,2,24,vntc9er4,0,0,0,2.142857143
1,2,24,vrtjenol,0,6,0.25,2.542857143
0,2,24,x2gcqvwb,0,2,0.083333333,3
1,2,24,x6hhcpwc,0,0,0,1.885714286
1,2,24,xwsl0cj6,0,0,0,2.114285714
1,2,24,y9iygxxf,0,0,0,2.771428571
1,1,25,0bmasffv,0,22,0.88,1.742857143
1,1,25,265l99ai,0,1,0.04,2.6
1,1,25,3cruabz9,0,13,0.52,1.4
1,1,25,3fmd8mik,0,0,0,2.828571429
0,1,25,5xdc3466,0,22,0.88,3.085714286
0,1,25,6i6lsymy,1,19,0.76,2.342857143
0,1,25,7h7cf7jw,1,24,0.96,2.485714286
1,1,25,7xjh9hwo,1,23,0.92,2.485714286
1,1,25,8gckk19h,0,12,0.48,2.114285714
1,1,25,9smjkz19,0,0,0,1.857142857
0,1,25,bhaakguo,0,2,0.08,1.8
0,1,25,bollw9mr,1,20,0.8,2.542857143
0,1,25,buocfmyx,0,7,0.28,1.485714286
0,1,25,buxstyu5,0,10,0.4,2.485714286
0,1,25,chdxrfak,1,24,0.96,2.371428571
0,1,25,crzbb1pp,0,6,0.24,1.942857143
0,1,25,eze54kxk,1,13,0.52,2.628571429
1,1,25,g7ab12q3,1,21,0.84,1.885714286
0,1,25,gauqrm0f,0,17,0.68,1.685714286
1,1,25,i16qw3id,1,17,0.68,1.714285714
0,1,25,i8qt3jxw,1,10,0.4,2.114285714
1,1,25,ipmny9rq,0,1,0.04,2.257142857
1,1,25,izo49mch,1,18,0.72,2.2
0,1,25,jiebe12q,1,8,0.32,3.228571429
0,1,25,k5s3f5ne,0,10,0.4,1.885714286
0,1,25,kdhmpvys,0,4,0.16,1.742857143
0,1,25,o4plj56u,0,5,0.2,1.914285714
0,1,25,ogmameyc,0,5,0.2,1.628571429
1,1,25,or50tpef,1,17,0.68,1.8
1,1,25,ouaa8yuq,1,9,0.36,2.771428571
1,1,25,owlwqap1,0,13,0.52,2.8
1,1,25,oy8wn5im,1,8,0.32,2.2
0,1,25,qmwwptcx,0,1,0.04,1.714285714
1,1,25,r3oyr52t,0,0,0,2.114285714
1,1,25,rj5j60np,0,18,0.72,2.285714286
0,1,25,s48es8wr,1,1,0.04,1.828571429
