framed,round,PU,QL,NE_PU,NE_QL,IBT_PU,IBT_QL,AS_N,AS_PU,AS_QL,PS_N,PS_PU,PS_QL,QRE_lambda,QRE_PU,QRE_QL,NE_ed,IBT_ed,AS_ed,PS_ed,QRE_ed
1,13,0.519230769,0.217948718,0.2,0.25,0.473610907,0.137021066,2,0.4751,0.2755,3,0.5329,0.2241,0.389384837,0.491821867,0.242998475,0.320835735,0.092900251,0.072523616,0.014989534,0.037131365
1,14,0.511904762,0.205357143,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.416637004,0.482241447,0.235786168,0.315083426,0.078334148,0.077873178,0.028144177,0.04249515
1,15,0.497222222,0.208333333,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.434312102,0.476091037,0.231635932,0.300128573,0.075119463,0.065960379,0.039006302,0.031456924
1,16,0.494791667,0.208333333,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.438181815,0.474753806,0.230778389,0.297721746,0.07439129,0.063859451,0.041241155,0.030088143
1,17,0.49754902,0.200980392,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.444148011,0.472699569,0.229490613,0.301559847,0.06829223,0.062948453,0.042239887,0.037819676
1,18,0.49537037,0.196759259,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.453476042,0.469507317,0.227558116,0.300130359,0.063577716,0.059333417,0.046432631,0.040217746
1,19,0.495614035,0.190789474,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.461149842,0.466900405,0.226039549,0.301485562,0.058096294,0.057721278,0.049998343,0.045464716
1,20,0.491666667,0.1875,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.472108456,0.463210045,0.223977332,0.298287939,0.053610943,0.053094517,0.055133908,0.046264188
1,21,0.494047619,0.180555556,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.477138838,0.461529537,0.223070977,0.302136613,0.048092733,0.054364888,0.058357743,0.053525571
1,22,0.492424242,0.176136364,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,3,0.5329,0.2241,0.485495637,0.458757445,0.221619056,0.301608644,0.043404471,0.052526055,0.062759839,0.056587353
1,23,0.489130435,0.173913043,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.493963736,0.45597442,0.220213813,0.298974302,0.040023415,0.049262855,0.064867365,0.056948069
1,24,0.486111111,0.171875,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.501836325,0.45341142,0.218964573,0.29658571,0.037027717,0.046369143,0.063156733,0.057329728
1,25,0.485,0.168333333,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.508192078,0.451359817,0.217994716,0.296469972,0.033319207,0.045697678,0.064031746,0.059982621
1,26,0.487179487,0.168269231,0.2,0.25,0.473610907,0.137021066,3,0.4399,0.1757,7,0.4311,0.2029,0.504370928,0.452591359,0.218573734,0.298583282,0.034066908,0.04785986,0.065910538,0.061048191
