DF_split,Shape,Equilibria,PU,PL
QRE_it,QRE,QRE_it,0.543902141,0.314919599
QRE_it,QRE,QRE_it,0.543670803,0.314291282
QRE_it,QRE,QRE_it,0.543437498,0.313665605
QRE_it,QRE,QRE_it,0.543202248,0.313042568
QRE_it,QRE,QRE_it,0.542965072,0.312422166
QRE_it,QRE,QRE_it,0.542725993,0.311804397
QRE_it,QRE,QRE_it,0.542485032,0.311189257
QRE_it,QRE,QRE_it,0.542242209,0.310576745
QRE_it,QRE,QRE_it,0.541997545,0.309966855
QRE_it,QRE,QRE_it,0.541751062,0.309359585
QRE_it,QRE,QRE_it,0.541502778,0.308754931
QRE_it,QRE,QRE_it,0.541252716,0.308152889
QRE_it,QRE,QRE_it,0.541000894,0.307553455
QRE_it,QRE,QRE_it,0.540747334,0.306956626
QRE_it,QRE,QRE_it,0.540492054,0.306362396
QRE_it,QRE,QRE_it,0.540235076,0.305770763
QRE_it,QRE,QRE_it,0.539976419,0.305181721
QRE_it,QRE,QRE_it,0.539716102,0.304595265
QRE_it,QRE,QRE_it,0.539454145,0.304011392
QRE_it,QRE,QRE_it,0.539190567,0.303430096
QRE_it,QRE,QRE_it,0.538925388,0.302851373
QRE_it,QRE,QRE_it,0.538658626,0.302275218
QRE_it,QRE,QRE_it,0.538390301,0.301701625
QRE_it,QRE,QRE_it,0.538120432,0.30113059
QRE_it,QRE,QRE_it,0.537849036,0.300562107
QRE_it,QRE,QRE_it,0.537576134,0.29999617
QRE_it,QRE,QRE_it,0.537301743,0.299432775
QRE_it,QRE,QRE_it,0.537025881,0.298871916
QRE_it,QRE,QRE_it,0.536748568,0.298313586
QRE_it,QRE,QRE_it,0.53646982,0.297757782
QRE_it,QRE,QRE_it,0.536189657,0.297204495
QRE_it,QRE,QRE_it,0.535908095,0.296653722
QRE_it,QRE,QRE_it,0.535625153,0.296105455
QRE_it,QRE,QRE_it,0.535340848,0.295559688
QRE_it,QRE,QRE_it,0.535055197,0.295016416
QRE_it,QRE,QRE_it,0.534768219,0.294475634
QRE_it,QRE,QRE_it,0.53447993,0.293937331
QRE_it,QRE,QRE_it,0.534190347,0.293401505
QRE_it,QRE,QRE_it,0.533899487,0.292868147
QRE_it,QRE,QRE_it,0.533607367,0.292337252
QRE_it,QRE,QRE_it,0.533314005,0.291808813
QRE_it,QRE,QRE_it,0.533019415,0.291282824
QRE_it,QRE,QRE_it,0.532723616,0.290759277
QRE_it,QRE,QRE_it,0.532426623,0.290238165
QRE_it,QRE,QRE_it,0.532128453,0.289719483
QRE_it,QRE,QRE_it,0.531829121,0.289203223
QRE_it,QRE,QRE_it,0.531528644,0.288689377
QRE_it,QRE,QRE_it,0.531227038,0.28817794
QRE_it,QRE,QRE_it,0.530924318,0.287668904
QRE_it,QRE,QRE_it,0.530620501,0.287162264
QRE_it,QRE,QRE_it,0.530315601,0.286658009
QRE_it,QRE,QRE_it,0.530009633,0.286156133
QRE_it,QRE,QRE_it,0.529702614,0.285656629
QRE_it,QRE,QRE_it,0.529394558,0.28515949
QRE_it,QRE,QRE_it,0.529085481,0.284664708
QRE_it,QRE,QRE_it,0.528775397,0.284172277
QRE_it,QRE,QRE_it,0.528464321,0.283682188
QRE_it,QRE,QRE_it,0.528152268,0.283194434
QRE_it,QRE,QRE_it,0.527839253,0.282709008
QRE_it,QRE,QRE_it,0.527525289,0.282225901
QRE_it,QRE,QRE_it,0.527210391,0.281745105
QRE_it,QRE,QRE_it,0.526894574,0.281266616
QRE_it,QRE,QRE_it,0.526577852,0.280790424
QRE_it,QRE,QRE_it,0.526260239,0.280316522
QRE_it,QRE,QRE_it,0.525941749,0.279844901
QRE_it,QRE,QRE_it,0.525622395,0.279375553
QRE_it,QRE,QRE_it,0.525302191,0.278908472
QRE_it,QRE,QRE_it,0.52498115,0.278443649
QRE_it,QRE,QRE_it,0.524659287,0.277981076
QRE_it,QRE,QRE_it,0.524336614,0.277520746
QRE_it,QRE,QRE_it,0.524013145,0.27706265
QRE_it,QRE,QRE_it,0.523688893,0.27660678
QRE_it,QRE,QRE_it,0.523363871,0.276153129
