examiner_total_payoff,examiner_strategy,ex_strategy,group_id_sess,round_number,student_total_payoff,player.company_decision,st_strategy,framed,dataset,strat_concat,cell_number,payoff_round_examiner,payoff_round_student
420,Control,1,12,33,406,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
347,Don't Control,0,13,33,412,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
349,Control,1,14,33,266,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
380,Control,1,2,34,316,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
470,Don't Control,0,3,34,468,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
409,Don't Control,0,4,34,420,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
395,Don't Control,0,6,34,468,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
425,Don't Control,0,7,34,430,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
415,Don't Control,0,8,34,400,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
419,Don't Control,0,9,34,450,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
432,Don't Control,0,10,34,434,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
382,Control,1,11,34,304,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
434,Don't Control,0,12,34,420,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
350,Don't Control,0,13,34,428,Cheat,1,0,17,"Don't Control, Cheat",3,3,16
360,Control,1,14,34,276,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
391,Control,1,2,35,326,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
484,Don't Control,0,3,35,482,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
423,Don't Control,0,4,35,434,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
409,Don't Control,0,6,35,482,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
439,Don't Control,0,7,35,444,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
418,Don't Control,0,8,35,416,Cheat,1,0,17,"Don't Control, Cheat",3,3,16
433,Don't Control,0,9,35,464,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
446,Don't Control,0,10,35,448,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
393,Control,1,11,35,314,Don't Cheat,0,0,17,"Control, Don't Cheat",2,11,10
448,Don't Control,0,12,35,434,Don't Cheat,0,0,17,"Don't Control, Don't Cheat",4,14,14
