participant_id_in_session,participant_code,participant_time_started,player_id,player_total_payoff,player_tax_office_decision,player_company_decision,p1s1,p2s1,s1,s2,group_id_in_subsession,round_number,session_code,framed,dataset,game_id,p1s1_cumulative,p2s1_cumulative,gender,p1_payoff,p2_payoff,degree_str,degree,Age,age_str,nationality,s1_cumulative,s1_freq,Framing,treatment
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,250,,Don't Cheat,0,0,0,1,1,18,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.055555556,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,252,Don't Control,,0,0,0,1,1,19,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.052631579,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,264,,Don't Cheat,0,0,0,1,1,19,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.052631579,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,266,Don't Control,,0,0,0,1,1,20,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.05,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,278,,Don't Cheat,0,0,0,1,1,20,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.05,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,280,Don't Control,,0,0,0,1,1,21,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.047619048,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,292,,Don't Cheat,0,0,0,1,1,21,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.047619048,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,294,Don't Control,,0,0,0,1,1,22,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.045454545,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,306,,Don't Cheat,0,0,0,1,1,22,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.045454545,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,308,Don't Control,,0,0,0,1,1,23,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.043478261,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,320,,Don't Cheat,0,0,0,1,1,23,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.043478261,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,322,Don't Control,,0,0,0,1,1,24,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.041666667,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,334,,Don't Cheat,0,0,0,1,1,24,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.041666667,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,336,Don't Control,,0,0,0,1,1,25,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.04,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,348,,Don't Cheat,0,0,0,1,1,25,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.04,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,350,Don't Control,,0,0,0,1,1,26,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.038461538,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,362,,Don't Cheat,0,0,0,1,1,26,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.038461538,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,364,Don't Control,,0,0,0,1,1,27,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.037037037,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,376,,Don't Cheat,0,0,0,1,1,27,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.037037037,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,378,Don't Control,,0,0,0,1,1,28,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.035714286,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,390,,Don't Cheat,0,0,0,1,1,28,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.035714286,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,392,Don't Control,,0,0,0,1,1,29,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.034482759,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,404,,Don't Cheat,0,0,0,1,1,29,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.034482759,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,406,Don't Control,,0,0,0,1,1,30,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.033333333,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,418,,Don't Cheat,0,0,0,1,1,30,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.033333333,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,420,Don't Control,,0,0,0,1,1,31,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.032258065,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,432,,Don't Cheat,0,0,0,1,1,31,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.032258065,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,434,Don't Control,,0,0,0,1,1,32,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.03125,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,446,,Don't Cheat,0,0,0,1,1,32,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.03125,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,448,Don't Control,,0,0,0,1,1,33,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.03030303,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,460,,Don't Cheat,0,0,0,1,1,33,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.03030303,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,462,Don't Control,,0,0,0,1,1,34,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.029411765,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,474,,Don't Cheat,0,0,0,1,1,34,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.029411765,1,framed
1,265l99ai,2021-03-15 10:12:08.650239+00:00,1,476,Don't Control,,0,0,0,1,1,35,7igvdhlu,1,15,151,1,0,2,14,0,International Taxation and Law,23,2,18-24,Germany,1,0.028571429,1,framed
2,2fsj9qvt,2021-03-15 10:12:09.038959+00:00,2,488,,Don't Cheat,0,0,0,1,1,35,7igvdhlu,1,15,151,0,1,1,0,14,"Agribusiness, B.A.",1,2,18-24,Viet Nam,1,0.028571429,1,framed
