,lambda,p1_s1,p1_s2,p2_s1,p2_s2
1649,1.649,0.2829363017480417,0.7170636982519583,0.20300470555585232,0.7969952944441476
1650,1.6500000000000001,0.28288056603734363,0.7171194339626564,0.20301931207794408,0.7969806879220559
1651,1.651,0.2828248989846211,0.717175101015379,0.20303391633653256,0.7969660836634673
1652,1.6520000000000001,0.2827693004724224,0.7172306995275777,0.20304851831180323,0.7969514816881967
1653,1.653,0.28271377038354367,0.7172862296164562,0.2030631179840359,0.7969368820159641
1654,1.6540000000000001,0.2826583086010277,0.7173416913989723,0.20307771533360353,0.7969222846663965
1655,1.655,0.2826029150081644,0.7173970849918356,0.203092310340972,0.7969076896590279
1656,1.6560000000000001,0.2825475894884894,0.7174524105115107,0.20310690298669964,0.7968930970133004
1657,1.657,0.2824923319257831,0.7175076680742168,0.20312149325143738,0.7968785067485626
1658,1.6580000000000001,0.28243714220407157,0.7175628577959283,0.2031360811159268,0.7968639188840732
1659,1.659,0.282382020207624,0.717617979792376,0.20315066656100245,0.7968493334389976
1660,1.6600000000000001,0.282326965820954,0.717673034179046,0.20316524956758886,0.7968347504324111
1661,1.661,0.2822719789288175,0.7177280210711825,0.20317983011670146,0.7968201698832985
1662,1.6620000000000001,0.282217059416213,0.7177829405837869,0.20319440818944617,0.7968055918105539
1663,1.663,0.2821622071683811,0.7178377928316189,0.2032089837670188,0.7967910162329812
1664,1.6640000000000001,0.28210742207080297,0.7178925779291969,0.20322355683070462,0.7967764431692954
1665,1.665,0.2820527040092012,0.717947295990799,0.20323812736187805,0.796761872638122
1666,1.666,0.2819980528695378,0.7180019471304622,0.20325269534200222,0.7967473046579978
1667,1.667,0.2819434685380145,0.7180565314619856,0.2032672607526294,0.7967327392473705
1668,1.668,0.2818889509010718,0.7181110490989282,0.2032818235753994,0.7967181764246007
1669,1.669,0.281834499845389,0.718165500154611,0.20329638379203982,0.7967036162079602
1670,1.67,0.28178011525788244,0.7182198847421175,0.2033109413843659,0.7966890586156341
1671,1.671,0.28172579702570644,0.7182742029742936,0.2033254963342798,0.7966745036657201
1672,1.672,0.281671545036251,0.7183284549637491,0.20334004862376986,0.7966599513762302
1673,1.673,0.28161735917714303,0.718382640822857,0.20335459823491217,0.7966454017650878
1674,1.674,0.2815632393362445,0.7184367606637555,0.20336914514986726,0.7966308548501327
1675,1.675,0.2815091854016526,0.7184908145983474,0.20338368935088202,0.7966163106491181
1676,1.676,0.2814551972616982,0.7185448027383018,0.20339823082028863,0.7966017691797114
1677,1.677,0.2814012748049469,0.718598725195053,0.20341276954050413,0.7965872304594959
1678,1.678,0.28134741792019713,0.7186525820798029,0.20342730549402993,0.79657269450597
1679,1.679,0.2812936264964798,0.7187063735035202,0.20344183866345228,0.7965581613365477
1680,1.68,0.2812399004230578,0.7187600995769422,0.20345636903144065,0.7965436309685593
1681,1.681,0.2811862395894265,0.7188137604105735,0.20347089658074852,0.7965291034192514
1682,1.682,0.28113264388531095,0.718867356114689,0.20348542129421243,0.7965145787057877
1683,1.683,0.28107911320066803,0.718920886799332,0.20349994315475195,0.7965000568452482
1684,1.684,0.28102564742568364,0.7189743525743164,0.20351446214536886,0.7964855378546312
1685,1.685,0.28097224645077323,0.7190277535492268,0.2035289782491476,0.7964710217508525
1686,1.686,0.2809189101665813,0.7190810898334186,0.203543491449254,0.796456508550746
1687,1.687,0.2808656384639801,0.7191343615360198,0.20355800172893607,0.796441998271064
1688,1.688,0.2808124312340704,0.7191875687659295,0.20357250907152247,0.7964274909284775
1689,1.689,0.2807592883681791,0.7192407116318209,0.20358701346042307,0.7964129865395769
1690,1.69,0.28070620975786076,0.7192937902421392,0.20360151487912795,0.7963984851208721
1691,1.691,0.28065319529489513,0.7193468047051048,0.20361601331120793,0.7963839866887921
1692,1.692,0.2806002448712882,0.7193997551287117,0.20363050874031335,0.7963694912596866
1693,1.693,0.280547358379271,0.719452641620729,0.2036450011501741,0.7963549988498259
1694,1.694,0.2804945357112981,0.7195054642887019,0.2036594905245999,0.7963405094754
1695,1.695,0.28044177676004933,0.7195582232399508,0.20367397684747848,0.7963260231525214
1696,1.696,0.2803890814184266,0.7196109185815734,0.20368846010277683,0.7963115398972231
1697,1.697,0.28033644957955545,0.7196635504204446,0.20370294027454006,0.7962970597254599
1698,1.698,0.2802838811367837,0.7197161188632163,0.2037174173468913,0.7962825826531086
1699,1.699,0.28023137598368103,0.719768624016319,0.20373189130403135,0.7962681086959688
1700,1.7,0.28017893401403815,0.719821065985962,0.2037463621302383,0.7962536378697617
1701,1.701,0.2801265551218664,0.7198734448781335,0.20376082980986715,0.7962391701901328
1702,1.702,0.2800742392013978,0.7199257607986023,0.20377529432734995,0.79622470567265
1703,1.703,0.2800219861470838,0.7199780138529163,0.2037897556671948,0.7962102443328052
1704,1.704,0.2799697958535949,0.7200302041464051,0.20380421381398603,0.7961957861860139
1705,1.705,0.2799176682158203,0.7200823317841797,0.20381866875238389,0.796181331247616
1706,1.706,0.27986560312886777,0.7201343968711322,0.20383312046712415,0.7961668795328758
1707,1.707,0.27981360048806186,0.7201863995119382,0.20384756894301706,0.796152431056983
1708,1.708,0.2797616601889448,0.720238339811055,0.20386201416494856,0.7961379858350516
1709,1.709,0.27970978212727554,0.7202902178727244,0.20387645611787902,0.796123543882121
1710,1.71,0.27965796619902855,0.7203420338009714,0.203890894786843,0.796109105213157
1711,1.711,0.2796062123003939,0.720393787699606,0.20390533015694848,0.7960946698430514
1712,1.712,0.2795545203277771,0.7204454796722228,0.20391976221337801,0.796080237786622
1713,1.713,0.2795028901777977,0.7204971098222022,0.20393419094138657,0.7960658090586135
1714,1.714,0.27945132174728976,0.7205486782527103,0.20394861632630326,0.7960513836736968
1715,1.715,0.2793998149333003,0.7206001850666998,0.20396303835352897,0.796036961646471
1716,1.716,0.2793483696330893,0.7206516303669107,0.2039774570085375,0.7960225429914626
1717,1.717,0.27929698574413014,0.7207030142558698,0.203991872276875,0.7960081277231249
1718,1.718,0.27924566316410715,0.7207543368358927,0.20400628414415925,0.7959937158558409
1719,1.719,0.27919440179091654,0.7208055982090834,0.20402069259607952,0.7959793074039204
1720,1.72,0.2791432015226654,0.7208567984773346,0.20403509761839664,0.7959649023816034
1721,1.721,0.2790920622576712,0.7209079377423288,0.2040494991969422,0.7959505008030578
1722,1.722,0.27904098389446186,0.7209590161055383,0.20406389731761873,0.7959361026823812
1723,1.723,0.2789899663317736,0.7210100336682265,0.2040782919663994,0.7959217080336005
1724,1.724,0.278939009468553,0.7210609905314469,0.2040926831293271,0.7959073168706728
1725,1.725,0.27888811320395435,0.7211118867960457,0.20410707079251467,0.7958929292074852
1726,1.726,0.2788372774373404,0.7211627225626597,0.20412145494214454,0.7958785450578555
1727,1.727,0.2787865020682802,0.7212134979317198,0.204135835564469,0.795864164435531
1728,1.728,0.27873578699655105,0.721264213003449,0.2041502126458086,0.7958497873541914
1729,1.729,0.27868513212213636,0.7213148678778637,0.20416458617255273,0.7958354138274473
1730,1.73,0.27863453734522536,0.7213654626547747,0.20417895613115974,0.7958210438688402
1731,1.731,0.27858400256621285,0.7214159974337871,0.2041933225081559,0.795806677491844
1732,1.732,0.2785335276856987,0.7214664723143014,0.2042076852901354,0.7957923147098646
1733,1.733,0.2784831126044875,0.7215168873955125,0.20422204446375983,0.7957779555362402
1734,1.734,0.27843275722358773,0.7215672427764123,0.20423640001575855,0.7957635999842415
1735,1.735,0.27838246144421097,0.721617538555789,0.2042507519329278,0.7957492480670723
1736,1.736,0.278332225167773,0.7216677748322271,0.2042651002021306,0.7957348997978694
1737,1.737,0.2782820482958908,0.7217179517041091,0.2042794448102965,0.7957205551897034
1738,1.738,0.2782319307303849,0.7217680692696151,0.2042937857444217,0.7957062142555783
1739,1.739,0.2781818723732763,0.7218181276267237,0.2043081229915679,0.7956918770084321
1740,1.74,0.27813187312678805,0.721868126873212,0.20432245653886288,0.7956775434611372
1741,1.741,0.27808193289334304,0.7219180671066568,0.2043367863734996,0.7956632136265003
1742,1.742,0.2780320515755652,0.7219679484244348,0.20435111248273696,0.795648887517263
1743,1.743,0.2779822290762777,0.7220177709237223,0.2043654348538976,0.7956345651461024
1744,1.744,0.277932465298503,0.722067534701497,0.20437975347436987,0.7956202465256302
1745,1.745,0.27788276014546254,0.7221172398545374,0.2043940683316062,0.7956059316683938
1746,1.746,0.2778331135205761,0.722166886479424,0.20440837941312298,0.7955916205868769
1747,1.747,0.277783525327461,0.7222164746725389,0.20442268670650085,0.7955773132934991
1748,1.748,0.2777339954699324,0.7222660045300676,0.20443699019938408,0.795563009800616
1749,1.749,0.2776845238520018,0.7223154761479982,0.20445128987948,0.79554871012052
1750,1.75,0.27763511037787764,0.7223648896221223,0.20446558573455942,0.7955344142654406
