id_in_session_p1,id_in_session_p2,participant_code_p1,participant_code_p2,total_payoff_p1,total_payoff_p2,payoff_round_p1,payoff_round_p2,examiner_decision,student_decision,Cell,p1s1,p1s2,p2s1,p2s2,pf_diff_p1_val,pf_diff_p2_val,pf_diff_p1_abs,pf_diff_p2_abs,pf_diff_p1_s,pf_diff_p2_s,game_id,round_number,framing
1,2,265l99ai,2fsj9qvt,308,320,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,265l99ai2fsj9qvt,23,1
3,4,7xjh9hwo,e8jis7nf,248,240,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,7xjh9hwoe8jis7nf,23,1
5,6,zo9j0hsi,iyu7t1vc,207,274,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,zo9j0hsiiyu7t1vc,23,1
7,8,3fmd8mik,qkypffhk,322,322,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,3fmd8mikqkypffhk,23,1
9,10,r3oyr52t,3u51j68w,256,334,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,r3oyr52t3u51j68w,23,1
11,12,xtfge1ys,i2nn9ow6,273,124,3,16,Don't Control,Cheat,3,0,1,1,0,-13,13,1,1.3,1,-1.3,xtfge1ysi2nn9ow6,23,1
13,14,uwz2vbjr,b7ctrqau,256,234,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,uwz2vbjrb7ctrqau,23,1
15,16,ipmny9rq,i18sqw1f,319,318,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ipmny9rqi18sqw1f,23,1
17,18,ouaa8yuq,qxal8ioj,300,274,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ouaa8yuqqxal8ioj,23,1
19,20,oy8wn5im,y9iygxxf,301,294,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,oy8wn5imy9iygxxf,23,1
21,22,9smjkz19,6ub1usmw,311,324,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,9smjkz196ub1usmw,23,1
23,24,0bmasffv,6zqxv643,256,234,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,0bmasffv6zqxv643,23,1
25,26,sj2ft9f6,6fsse8c1,248,180,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,sj2ft9f66fsse8c1,23,1
27,28,rj5j60np,i7rlg7cc,260,256,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,rj5j60npi7rlg7cc,23,1
1,2,265l99ai,2fsj9qvt,322,334,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,265l99ai2fsj9qvt,24,1
3,4,7xjh9hwo,e8jis7nf,259,250,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,7xjh9hwoe8jis7nf,24,1
5,6,zo9j0hsi,iyu7t1vc,221,288,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,zo9j0hsiiyu7t1vc,24,1
7,8,3fmd8mik,qkypffhk,336,336,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,3fmd8mikqkypffhk,24,1
9,10,r3oyr52t,3u51j68w,270,348,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,r3oyr52t3u51j68w,24,1
11,12,xtfge1ys,i2nn9ow6,285,126,12,2,Control,Cheat,1,1,0,1,0,10,-10,0.769230769,1,-0.769230769,1,xtfge1ysi2nn9ow6,24,1
13,14,uwz2vbjr,b7ctrqau,267,244,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,uwz2vbjrb7ctrqau,24,1
15,16,ipmny9rq,i18sqw1f,333,332,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ipmny9rqi18sqw1f,24,1
17,18,ouaa8yuq,qxal8ioj,314,288,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,ouaa8yuqqxal8ioj,24,1
19,20,oy8wn5im,y9iygxxf,315,308,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,oy8wn5imy9iygxxf,24,1
21,22,9smjkz19,6ub1usmw,325,338,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,9smjkz196ub1usmw,24,1
23,24,0bmasffv,6zqxv643,270,248,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,0bmasffv6zqxv643,24,1
25,26,sj2ft9f6,6fsse8c1,260,182,12,2,Control,Cheat,1,1,0,1,0,10,-10,0.769230769,1,-0.769230769,1,sj2ft9f66fsse8c1,24,1
27,28,rj5j60np,i7rlg7cc,271,266,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,rj5j60npi7rlg7cc,24,1
1,2,265l99ai,2fsj9qvt,336,348,14,14,Don't Control,Don't Cheat,4,0,1,0,1,0,0,0,0,0,0,265l99ai2fsj9qvt,25,1
3,4,7xjh9hwo,e8jis7nf,270,260,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,7xjh9hwoe8jis7nf,25,1
5,6,zo9j0hsi,iyu7t1vc,232,298,11,10,Control,Don't Cheat,2,1,0,0,1,1,-1,0.076923077,0.1,-0.076923077,0.1,zo9j0hsiiyu7t1vc,25,1
